NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Dum Matka,750,North Indian,,,,,,,,,,
Kanakia Darbar Restaurant,800,Seafood,,,,,,,,,,
Nakabandi,500,Wraps,,,,,,,,,,
Merwans Cake Stop,250,Bakery,,,,,,,,,,
Al-Falah Shawarma,250,Lebanese,Mumbai,Borivali West,https://www.zomato.com/mumbai/al-falah-shawarma-borivali-west/info,113,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4,601,
RK's Meals N More,400,North Indian,,,,,,,,,,
Dumpling Delights,200,Momos,Mumbai,Matunga East,https://www.zomato.com/dumpling-delights-food-truck/info,113,Food Truck,430pm to 930pm(Mon-Sun),Very Good,4.3,212,
Pine Restaurant,500,Chinese,,,,,,,,,,
Farmhouse Global Cuisine Restaurant,1000,North Indian,,,,,,,,,,
Silver Oaks,1500,Chinese,,,,,,,,,,
Cafe Irani Chaii,400,Parsi,,,,,,,,,,
On Toes,1500,North Indian,,,,,,,,,,
Cafe Orritel,1000,North Indian,,,,,,,,,,
Sanjhi,500,Chinese,,,,,,,,,,
Ashok Vada Pav Stall,100,Street Food,Mumbai,Prabhadevi,https://www.zomato.com/mumbai/ashok-vada-pav-stall-prabhadevi/info,113,Quick Bites,11am to 930pm(Mon-Sat),,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Lucky Sandwich And Pizza Corner,200,Fast Food,Mumbai,Vile Parle West,https://www.zomato.com/mumbai/lucky-sandwich-and-pizza-corner-vile-parle-west/info,114,Quick Bites,1130am to 1130pm(Mon-Sun),Very Good,4.1,353,
Jhakas,650,Chinese,,,,,,,,,,
Brownie Point,400,Desserts,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/brownie-point-pali-hill-bandra-west/info,114,Bakery,11am to 11pm(Mon-Sun),Very Good,4.2,424,
The Yoga House,1500,Cafe,,,,,,,,,,
Raisin,1300,Continental,Mumbai,Charni Road,https://www.zomato.com/mumbai/raisin-charni-road/info,114,Casual Dining,1130am to 1130pm(Mon-Sun),Good,3.9,825,
Bakers,250,Bakery,,,,,,,,,,
China Bistro,1400,Asian,,,,,,,,,,
Global Culture,1300,North Indian,,,,,,,,,,
Borivali Biryani Centre,800,North Indian,,,,,,,,,,
Thackers,800,Gujarati,,,,,,,,,,
Mumbai Palace Kitchen & Bar,750,North Indian,,,,,,,,,,
Sequel Bistro & Juice Bar,1500,Cafe,,,,,,,,,,
Red Indian Sizzlers,800,Chinese,,,,,,,,,,
Arfat,450,North Indian,,,,,,,,,,
The Post Box,750,North Indian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Veggies,550,North Indian,,,,,,,,,,
Pastovilla,800,North Indian,,,,,,,,,,
Suruchi,500,South Indian,,,,,,,,,,
Ek Aur Baar,900,North Indian,,,,,,,,,,
Sagar Chinese,500,Chinese,,,,,,,,,,
Q 'N' Q,550,North Indian,,,,,,,,,,
Varanda Kitchen & Bar,1300,Chinese,,,,,,,,,,
Lagoon,700,Chinese,,,,,,,,,,
New Apollo,350,North Indian,,,,,,,,,,
Sealand,600,Chinese,,,,,,,,,,
Hotel Uday,450,North Indian,,,,,,,,,,
Sagar Bar & Restaurant,500,North Indian,,,,,,,,,,
Delhi Misthan,400,North Indian,Mumbai,Girgaum,https://www.zomato.com/mumbai/delhi-misthan-girgaum/info,115,Casual Dining,11am to 4pm,,,,
Kings Lal Killa Family Restaurant,600,North Indian,,,,,,,,,,
Hotel Sahara,450,Chinese,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Munna Restaurant,350,Chinese,,,,,,,,,,
Le Gateau,400,Bakery,Mumbai,Kandivali West,https://www.zomato.com/mumbai/le-gateau-3-kandivali-west/info,116,Dessert Parlor,10am to 1230AM(Mon-Sun),Not rated,-,-,
Grand Maratha,600,North Indian,,,,,,,,,,
Garnish,750,North Indian,,,,,,,,,,
Sai Pooja,400,Chinese,,,,,,,,,,
Blue Sky,700,North Indian,,,,,,,,,,
Vaishali Refreshment,400,North Indian,,,,,,,,,,
Colombo,400,Chinese,,,,,,,,,,
The Kitchen & Bar,700,North Indian,,,,,,,,,,
Greendeed,400,Healthy Food,,,,,,,,,,
Hogg Quarter's,500,Fast Food,,,,,,,,,,
Durwa,550,North Indian,,,,,,,,,,
Blue Heaven Bombay Lounge,800,Chinese,,,,,,,,,,
